N_TASUK,N_TASU,N_DEUKJUM,N_ANTA,N_2TA,N_3TA,N_HOMERUN,N_ALLTA,N_TAJUM,N_DORU,N_DOSIL,N_BALLNET,N_SAGU,N_GOSA,N_SAMJIN,N_BYUNGSAL,N_HEUITA,N_TAYUL,N_CHULRU,N_JANGTA,N_CAREER
4114.990036,3567.960482,600.5980353,1082.822238,205.611284,23.832751,144.2983021,1703.569781,599.302094,143.701079,48.713448,429.751091,73.3553,28.213472,723.968231,91.65697,91.043945,2.711131,3.434818,4.291193,7.709805
4114.990036,3567.960482,600.5980353,1082.822238,205.611284,23.832751,144.2983021,1703.569781,599.302094,143.701079,48.713448,429.751091,73.3553,28.213472,723.968231,91.65697,91.043945,2.711131,3.434818,4.291193,7.709805
4114.990036,3567.960482,600.5980353,1082.822238,205.611284,23.832751,144.2983021,1703.569781,599.302094,143.701079,48.713448,429.751091,73.3553,28.213472,723.968231,91.65697,91.043945,2.711131,3.434818,4.291193,7.709805
4114.990036,3567.960482,600.5980353,1082.822238,205.611284,23.832751,144.2983021,1703.569781,599.302094,143.701079,48.713448,429.751091,73.3553,28.213472,723.968231,91.65697,91.043945,2.711131,3.434818,4.291193,7.709805
4114.990036,3567.960482,600.5980353,1082.822238,205.611284,23.832751,144.2983021,1703.569781,599.302094,143.701079,48.713448,429.751091,73.3553,28.213472,723.968231,91.65697,91.043945,2.711131,3.434818,4.291193,7.709805
4114.990036,3567.960482,600.5980353,1082.822238,205.611284,23.832751,144.2983021,1703.569781,599.302094,143.701079,48.713448,429.751091,73.3553,28.213472,723.968231,91.65697,91.043945,2.711131,3.434818,4.291193,7.709805
4114.990036,3567.960482,600.5980353,1082.822238,205.611284,23.832751,144.2983021,1703.569781,599.302094,143.701079,48.713448,429.751091,73.3553,28.213472,723.968231,91.65697,91.043945,2.711131,3.434818,4.291193,7.709805
4114.990036,3567.960482,600.5980353,1082.822238,205.611284,23.832751,144.2983021,1703.569781,599.302094,143.701079,48.713448,429.751091,73.3553,28.213472,723.968231,91.65697,91.043945,2.711131,3.434818,4.291193,7.709805
4114.990036,3567.960482,600.5980353,1082.822238,205.611284,23.832751,144.2983021,1703.569781,599.302094,143.701079,48.713448,429.751091,73.3553,28.213472,723.968231,91.65697,91.043945,2.711131,3.434818,4.291193,7.709805
4114.990036,3567.960482,600.5980353,1082.822238,205.611284,23.832751,144.2983021,1703.569781,599.302094,143.701079,48.713448,429.751091,73.3553,28.213472,723.968231,91.65697,91.043945,2.711131,3.434818,4.291193,7.709805
4114.990036,3567.960482,600.5980353,1082.822238,205.611284,23.832751,144.2983021,1703.569781,599.302094,143.701079,48.713448,429.751091,73.3553,28.213472,723.968231,91.65697,91.043945,2.711131,3.434818,4.291193,7.709805
4114.990036,3567.960482,600.5980353,1082.822238,205.611284,23.832751,144.2983021,1703.569781,599.302094,143.701079,48.713448,429.751091,73.3553,28.213472,723.968231,91.65697,91.043945,2.711131,3.434818,4.291193,7.709805
4114.990036,3567.960482,600.5980353,1082.822238,205.611284,23.832751,144.2983021,1703.569781,599.302094,143.701079,48.713448,429.751091,73.3553,28.213472,723.968231,91.65697,91.043945,2.711131,3.434818,4.291193,7.709805
4114.990036,3567.960482,600.5980353,1082.822238,205.611284,23.832751,144.2983021,1703.569781,599.302094,143.701079,48.713448,429.751091,73.3553,28.213472,723.968231,91.65697,91.043945,2.711131,3.434818,4.291193,7.709805
4114.990036,3567.960482,600.5980353,1082.822238,205.611284,23.832751,144.2983021,1703.569781,599.302094,143.701079,48.713448,429.751091,73.3553,28.213472,723.968231,91.65697,91.043945,2.711131,3.434818,4.291193,7.709805
4114.990036,3567.960482,600.5980353,1082.822238,205.611284,23.832751,144.2983021,1703.569781,599.302094,143.701079,48.713448,429.751091,73.3553,28.213472,723.968231,91.65697,91.043945,2.711131,3.434818,4.291193,7.709805
4114.990036,3567.960482,600.5980353,1082.822238,205.611284,23.832751,144.2983021,1703.569781,599.302094,143.701079,48.713448,429.751091,73.3553,28.213472,723.968231,91.65697,91.043945,2.711131,3.434818,4.291193,7.709805
4114.990036,3567.960482,600.5980353,1082.822238,205.611284,23.832751,144.2983021,1703.569781,599.302094,143.701079,48.713448,429.751091,73.3553,28.213472,723.968231,91.65697,91.043945,2.711131,3.434818,4.291193,7.709805
4114.990036,3567.960482,600.5980353,1082.822238,205.611284,23.832751,144.2983021,1703.569781,599.302094,143.701079,48.713448,429.751091,73.3553,28.213472,723.968231,91.65697,91.043945,2.711131,3.434818,4.291193,7.709805
4114.990036,3567.960482,600.5980353,1082.822238,205.611284,23.832751,144.2983021,1703.569781,599.302094,143.701079,48.713448,429.751091,73.3553,28.213472,723.968231,91.65697,91.043945,2.711131,3.434818,4.291193,7.709805